federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
ST,5236,4850,386,2010-01-01,7.372039724980901
ST,4551,4309,242,2011-01-01,5.317512634585805
ST,4501,4318,183,2012-01-01,4.065763163741391
ST,4353,4133,220,2013-01-01,5.05398575694923
ST,4759,4494,265,2014-01-01,5.56839672200042
ST,5412,5157,255,2015-01-01,4.711751662971175
ST,5791,5541,250,2016-01-01,4.317043688482127
ST,5864,5579,285,2017-01-01,4.860163710777626
ST,6227,5930,297,2018-01-01,4.769551951180344
ST,5981,5675,306,2019-01-01,5.116201304129745
ST,5676,5676,0,2020-01-01,0.0
ST,5580,5361,219,2021-01-01,3.924731182795699
ST,5643,5362,281,2022-01-01,4.979620769094454
