federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Nordrhein-Westphalen,76662,75049,1613,2010-01-01,2.1040411155461634
Nordrhein-Westphalen,79240,77847,1393,2011-01-01,1.7579505300353355
Nordrhein-Westphalen,84703,83092,1611,2012-01-01,1.9019397187820974
Nordrhein-Westphalen,126757,123896,2861,2013-01-01,2.257074559984853
Nordrhein-Westphalen,87827,85398,2429,2014-01-01,2.765664317351156
Nordrhein-Westphalen,88912,86347,2565,2015-01-01,2.884874932517546
Nordrhein-Westphalen,89815,87071,2744,2016-01-01,3.0551689584145185
Nordrhein-Westphalen,87091,84040,3051,2017-01-01,3.5032322513233285
Nordrhein-Westphalen,85626,82612,3014,2018-01-01,3.519958890991054
Nordrhein-Westphalen,84658,81898,2760,2019-01-01,3.2601762385126034
Nordrhein-Westphalen,83308,80733,2575,2020-01-01,3.0909396456522784
Nordrhein-Westphalen,82046,79618,2428,2021-01-01,2.9593155059356944
Nordrhein-Westphalen,80525,76909,3616,2022-01-01,4.490530891027631
