federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Mecklenburg-Vorpommern,5802,5581,221,2010-01-01,3.809031368493623
Mecklenburg-Vorpommern,3475,3327,148,2011-01-01,4.258992805755395
Mecklenburg-Vorpommern,3691,3526,165,2012-01-01,4.47033324302357
Mecklenburg-Vorpommern,3595,3363,232,2013-01-01,6.453407510431155
Mecklenburg-Vorpommern,3757,3512,245,2014-01-01,6.5211605003992545
Mecklenburg-Vorpommern,4393,4092,301,2015-01-01,6.851809697245619
Mecklenburg-Vorpommern,5289,4941,348,2016-01-01,6.579693703913783
Mecklenburg-Vorpommern,5321,4949,372,2017-01-01,6.991167073858297
Mecklenburg-Vorpommern,5563,5223,340,2018-01-01,6.111810174366349
Mecklenburg-Vorpommern,5420,5024,396,2019-01-01,7.306273062730627
Mecklenburg-Vorpommern,5433,5103,330,2020-01-01,6.073992269464385
Mecklenburg-Vorpommern,5240,4948,292,2021-01-01,5.572519083969466
Mecklenburg-Vorpommern,5247,4884,363,2022-01-01,6.918238993710692
