federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Brandenburg,10268,9916,352,2010-01-01,3.428126217374367
Brandenburg,7376,7111,265,2011-01-01,3.5927331887201737
Brandenburg,10193,9793,400,2012-01-01,3.924261748258609
Brandenburg,7493,7172,321,2013-01-01,4.283998398505272
Brandenburg,7251,6932,319,2014-01-01,4.3993931871466
Brandenburg,8419,8062,357,2015-01-01,4.240408599596152
Brandenburg,8988,8597,391,2016-01-01,4.350244770805518
Brandenburg,10151,9735,416,2017-01-01,4.098118411979115
Brandenburg,10171,9733,438,2018-01-01,4.306361223085242
Brandenburg,9803,9332,471,2019-01-01,4.804651637253902
Brandenburg,9453,9023,430,2020-01-01,4.548820480270813
Brandenburg,9801,9361,440,2021-01-01,4.489337822671156
Brandenburg,9619,9103,516,2022-01-01,5.36438299199501
