federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
HE,23119,22554,565,2010-01-01,2.443877330334357
HE,23883,23169,714,2011-01-01,2.989574174098731
HE,25472,24796,676,2012-01-01,2.653894472361809
HE,32609,31679,930,2013-01-01,2.8519733815817716
HE,30011,29147,864,2014-01-01,2.8789443870580786
HE,26359,25574,785,2015-01-01,2.9781099434728175
HE,25370,24486,884,2016-01-01,3.484430429641309
HE,25317,24408,909,2017-01-01,3.5904728048346963
HE,25101,24081,1020,2018-01-01,4.06358312417832
HE,23108,22232,876,2019-01-01,3.790894928163407
HE,23229,22391,838,2020-01-01,3.6075595161220884
HE,19475,18835,640,2021-01-01,3.2862644415917845
HE,19347,18676,671,2022-01-01,3.468237969711066
