federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Thüringen,6648,6536,112,2010-01-01,1.684717208182912
Thüringen,5102,5030,72,2011-01-01,1.4112112896903175
Thüringen,5236,5128,108,2012-01-01,2.0626432391138274
Thüringen,5262,5136,126,2013-01-01,2.394526795895097
Thüringen,5728,5622,106,2014-01-01,1.8505586592178773
Thüringen,6369,6234,135,2015-01-01,2.119642016015073
Thüringen,6896,6698,198,2016-01-01,2.87122969837587
Thüringen,6750,6608,142,2017-01-01,2.1037037037037036
Thüringen,6722,6587,135,2018-01-01,2.008330853912526
Thüringen,6962,6799,163,2019-01-01,2.3412812410226946
Thüringen,6640,6534,106,2020-01-01,1.5963855421686748
Thüringen,6389,6279,110,2021-01-01,1.7217091876663013
Thüringen,6399,6292,107,2022-01-01,1.6721362712923893
