federal_states,examinations_total,passed_examinations,failed_examinations,year,percentage
Baden-Wüttemberg,47635,46277,1358,2010-01-01,2.8508449669360765
Baden-Wüttemberg,49671,48333,1338,2011-01-01,2.6937247085824727
Baden-Wüttemberg,75286,73513,1773,2012-01-01,2.3550195255425974
Baden-Wüttemberg,49486,48105,1381,2013-01-01,2.790688275471851
Baden-Wüttemberg,49665,48228,1437,2014-01-01,2.8933856840833583
Baden-Wüttemberg,52400,51101,1299,2015-01-01,2.479007633587786
Baden-Wüttemberg,52592,51197,1395,2016-01-01,2.652494675996349
Baden-Wüttemberg,51724,50150,1574,2017-01-01,3.043074781532751
Baden-Wüttemberg,51152,49339,1813,2018-01-01,3.5443384422896465
Baden-Wüttemberg,48937,47436,1501,2019-01-01,3.067208860371498
Baden-Wüttemberg,45903,44975,928,2020-01-01,2.021654358102956
Baden-Wüttemberg,43507,42464,1043,2021-01-01,2.3973153745374307
Baden-Wüttemberg,43507,42464,1043,2022-01-01,2.3973153745374307
